"After finishing a meal",1," الْحَمْدُ لِلَّهِ الَّذِى اطْعَمَنَا وَسَقَانَا ، وَجَعَلنَا مُسْلِمِينَ","Alhamdulilahil ladhi at’amana, wasaqana, waj’alna min-al Muslimeen","Praise be to Allah Who has fed us and given us drink and made us Muslims.","Abu Dawud"
"For deceased",2," اللهُـمِّ اغْفِـرْ لِـ-فُلاَنٍ (باسـمه)وَارْفَعْ دَرَجَتََـهُ فِي المَهْـدِيّيـنَ ، وَاخْـلُفْـهُ في عَقِـبِهِ في الغَابِِـرِينَ، وَاغْفِـرْ لَنَا وَلَـهُ يا رَبَّ العـالَمـين، وَافْسَـحْ لَهُ في قَبْـرِهِ وَنَـوِّرْ لَهُ فِيهِ","Allaahummaghfir li (name of the person) warfa' darajatahu fil-mahdiyyeena, wakhlufhu fee 'aqibihi fil-ghaabireena , waghfir-lanaa wa lahu yaa Rabbal-'aalameena, wafsah lahu fee qabrihi wa nawwir lahu feehi","O Allah, forgive [name of the person] and elevate his station among those who are guided. Send him along the path of those who came before, and forgive us and him, O Lord of the worlds. Enlarge for him his grave and shed light upon him in it.","Muslim 2:634"
"Upon completing ablution",3," سُبْحـَانَكَ اللَّهُـمَّ وَبِحَمْدِكَ، أَشْهَـدُ أَنْ لاَ إِلَهَ إِلاَّ أَنْتَ، أَسْتَغْفِرُكَ وَأَتُوبُ إِلَـيْكَ.","Subhanakal-lahumma wabihamdika ashhadu an la ilaha illa anta astaghfiruka wa-atoobu ilayk.","How perfect You are O Allah, and I praise You, I bear witness that none has the right to be worshipped except You, I seek Your forgiveness and turn in repentance to You.","An-Nasa'i: 173"
"When dining at someones house",1," اللَّهُمَّ بَارِكْ لَهُمْ فِيمَا رَزَقْتَهُمْ ، وَاغْفِرْ لَهُمْ وَارْحَمْهُمْ","Allahumma barik lahum feema razaqtahum, waghfir lahum, war hamhum","O Allah! Bless them in what You have provided for them, and forgive them and have Mercy on them.","Muslim 3:1615"
"When entering market",1," لَا إِلَهَ إِلَّا اللَّهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ يُحْيِي وَيُمِيتُ وَهُوَ حَيٌّ لَا يَمُوتُ بِيَدِهِ الْخُيْرُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٍ","Laa ilaaha illallaahu wahdahu laa shareeka lahu, lahul-mulku wa lahul-hamdu, yuhyee wa yumeetu, wa Huwa hayyun laa yamootu, biyadihil-khayru, wa Huwa alaa kulli shayin Qadeer.","There is no Lord except Allah. He is One and has no partners. His is the Kingdom and for Him are all praises. He gives life and gives death. He is eternal and everlasting In His control is goodness, and He has power over everything.","At-Tirmidhi 5:291, Al-Hakim 1:538"
"When feeling frightened",1," لا إلهَ إلاّ اللّه","Laa 'ilaaha 'illallaahu","There is none worthy of worship but Allah.","Al-Bukhari: 3346"
"When given a drink",1," اللَّهُمَّ اطْعِمَّ مَنْ اطْعَمَنِي وَاسْقِِِ ِ مَنْ سَقَانِيِ","Allahumma at’im man at’amani, wasqi man saqani","O Allah! Feed him who fed me and give him drink who gave me to drink.","Muslim 3:126"
"When going to Mosque",1," اللّهُـمَّ اجْعَـلْ في قَلْبـي نورا ، وَفي لِسـاني نورا، وَاجْعَـلْ في سَمْعي نورا، وَاجْعَـلْ في بَصَري نورا، وَاجْعَـلْ مِنْ خَلْفي نورا، وَمِنْ أَمامـي نورا، وَاجْعَـلْ مِنْ فَوْقـي نورا ، وَمِن تَحْتـي نورا .اللّهُـمَّ أَعْطِنـي نورا.","Allahumma ijAAal fee qalbee noora, wafee lisanee noora, wajAAal fee samAAee noora,wajAAal fee basaree noora, wajAAal min khalfee noora, wamin amamee noora ,wajAAal min fawqee noora, wamin tahtee noora, allahumma aAAtinee noora.","O Allah, place within my heart light, and upon my tongue light, and within my ears light, and within my eyes light, and place behind me light and in front of me light and above me light and beneath me light. O Allah, bestow upon me light.","Muslim: 1:526,529-530, Al-Bukhari 11:116"
"When in distress",3," لا إلَهَ إلاَّ اللَّهُ الْعَظـيمُ الْحَلِـيمْ، لا إلَهَ إلاَّ اللَّهُ رَبُّ العَـرْشِ العَظِيـمِ، لا إلَهَ إلاَّ اللَّهُ رَبُّ السَّمَـوّاتِ ورّبُّ الأَرْضِ ورَبُّ العَرْشِ الكَـريم","Laa 'ilaaha 'illallaahul-'Adheemul-Haleem, laa 'ilaaha 'illallaahu Rabbul-'Arshil-'Adheem, laa 'ilaaha 'illallaahu Rabbus-samaawaati wa Rabbul-'ardhi wa Rabbul-'Arshil-Kareem","There is none worthy of worship but Allah the Mighty, the Forbearing. There is none worthy of worship but Allah, Lord of the Magnificent Throne. There is none worthy of worship but Allah, Lord of the heavens and Lord of the earth, and Lord of the Noble Throne.","Al-Bukhari: 6346"
"When Leaving Home",2," اَللَّهُـمَّ إِنِّي أَعُـوذُ بِكَ أَنْ أَضِـلَّ أَوْ أُضَـلَّ، أَوْ أَزِلَّ أَوْ أُزَلَّ، أَوْ أَظْلِـمَ أَوْ أَُظْلَـمَ، أَوْ أَجْهَلَ أَوْ يُـجْهَلَ عَلَـيَّ .","Allahumma innee aAAoothu bika an adilla aw odal, aw azilla aw ozall, aw athlima aw othlam, aw ajhala aw yujhala AAalay.","O Allah, I take refuge with You lest I should stray or be led astray, or slip or be tripped, or oppress or be oppressed, or behave foolishly or be treated foolishly.’ slip: i.e. to commit a sin unintentionally","At-Tirmidhi 3:152"
"When looking into the mirror",1," اللَّهُمَّ أَنْتَ حَسَّنْتَ خَلْقِي فَحَسِّنْ خُلُقِي","Allahumma antha hasantha khalqi fa hasintha khulqi","O Allah, just as You have made my external features beautiful, make my character beautiful as well.","Al-Hisnul-Haseen Pg. 206"
"When offering condolence",1," إِنَّ للهِ ما أَخَذ، وَلَهُ ما أَعْـطـى، وَكُـلُّ شَيءٍ عِنْـدَهُ بِأَجَلٍ مُسَـمَّى.فَلْتَصْـبِر وَلْتَحْـتَسِب","Inna lillaahi maa 'akhatha, wa lahu maa 'a'taa, wa kullu shay'in 'indahu bi'ajalin musamman. Faltasbir waltahtasib","Surely, Allah takes what is His, and what He gives is His, and to all things He has appointed a time. So, have patience and be rewarded.","Al-Bukhari: 1284, An-Nasa'i: 1869"
"While Opening Fast",1," اللَّهُمَّ اِنِّى لَكَ صُمْتُ وَبِكَ امنْتُ وَعَليْكَ تَوَكّلتُ وَ عَلى رِزْقِكَ اَفْطَرْتُ","Allahumma inni laka sumtu wa bika aamantu wa alayka tawakkaltu wa ala rizq-ika-aftartu","O Allah! I fasted for You and I believe in You and I put my trust in You and I break my fast with Your sustenance","Abu Dawud: 2358"
"When placing the deceased in the grave",1," بِسْـمِ اللهِ وَعَلـى سُـنَّةِ رَسـولِ الله","Bismillaahi wa 'alaa sunnati Rasoolillaahi","With the Name of Allah and according to the Sunnah of the Messenger of Allah","Ibn Majah: 1550"
"When prostrating",2," اللَّهُمَّ اكْتُبْ لِي بِهَا عِنْدَكَ أَجْراً، وَضَعْ عَنِّي بِهَا وِزْراً، وَاجْعَلْهَا لِي عِنْدَكَ ذُخْراً، وَتَقَبَّلْهَا مِنِّي كَمَا تَقَبَّلْتَهَا مِنْ عَبْدِكَ دَاوُدَ","Allaahum-maktub lee bihaa 'indaka 'ajran, wa aha' 'annee bihaa wizran, waj'alhaa lee 'indaka thukhran, wa taqabbalhaa minnee kamaa taqabbaltahaa min'abdika Daawooda.","O Allah, write it as a reward for me, and release me from a burden for it, and make it a I treasure for me in Paradise. Accept it from me as You accepted it from your servant Dawud.","At-Tirmidhi 2:473"
"When responding to Salam",1," و عليكم السلام والرحمة الله وبركاته","Wa’alaikum assalam wa rahmatullahi wa barakatuh","Peace and mercy and blessings of Allah be upon you","Sunnah of the Prophet S.A.W"
"When returning from a long journey",1," ا للهُ أَكْـبَر، ا للهُ أَكْـبَر، ا للهُ أَكْـبَر
 لا إلهَ إلاّ اللّهُ وَحْـدَهُ لا شريكَ لهُ، لهُ الملكُ ولهُ الحَمْد، وهُوَ على كُلّ شَيءٍ قَـدير، آيِبـونَ تائِبـونَ عابِـدونَ لِرَبِّـنا حـامِـدون، صَدَقَ اللهُ وَعْـدَه، وَنَصَـرَ عَبْـدَه، وَهَزَمَ الأَحْـزابَ وَحْـدَه","Allahu akbar, Allahu akbar, Allahu akbar
 La ilaha illal-lahu wahdahu la shareeka lah, lahul-mulku walahul-hamd, wahuwa AAala kulli shay-in qadeer, ayiboona ta-iboon, AAabidoon, lirabbina hamidoon, sadaqal-lahu waAAdah, wanasara AAabdah, wahazamal-ahzaba wahdah","Allah is the greatest, Allah is the greatest, Allah is the greatest.
 None has the right to be worshipped except Allah, alone, without partner. To Him belongs all sovereignty and praise, and He is over all things omnipotent. We return, repent, worship and praise our Lord. Allah fulfilled His promise, aided His Servant, and single-handedly defeated the allies.","Bukhari 7:163, Muslim 2:980."
"When sacrificing an animal",1," بِسْمِ اللهِ واللهُ أَكْبَرُ اللَّهُمَّ مِنْكَ ولَكَ اللَّهُمَّ تَقَبَّلْ مِنِّي","Bismillaahi wallaahu 'Akbar [Allaahumma minka wa laka] Allaahumma taqabbal minnee","With the Name of Allah, Allah is the Most Great! [O Allah, from You and to You.] O Allah, accept it from me.","Muslim 3:1557"
"When sitting between two Sujood (Prostrations)",2," اللَّهُمَّ اغْفِرْ لِي، وَارْحَمْنِي، وَاهْدِنِي، وَاجْبُرْنِي، وَعَافِنِي، وَارْزُقْنِي، وَارْفَعْنِي","Allaahum-maghfir lee, warhamnee, wahdinee, wajburnee, wa 'aafinee, warzuqnee, warfa'nee","O Allah forgive me, have mercy on me, guide me, support me, protect me, provide for me and elevate me.","Ibn Majah: 3845, 1517 At-Tirmidhi: 284"
"When sitting in Prayer (Tashahhud)",1," التَّحِيَّاتُ للهِ، وَالصَّلَوَاتُ، وَالطَّيِّبَاتُ، السَّلَامُ عَلَيْكَ أَيُّهَا النَّبِيُّ وَرَحْمَةُ اللهِ وَبَرَكَاتُهُ، السَّلَامُ عَلَيْنَا وَعَلَى عِبَادِ اللهِ الصَّالِحِينَ. أّشَْدُ أَنْ لَا إِلَهَ إِلَّا اللهُ وَأَشْهَدُ أَنَّ مُحَمَّداً عَبْدُهُ وَرَسُولُهُ","Attahiyyaatu lillaahi wassalawaatu , wattayyibaatu , assalaamu 'alayka 'ayyuhan-Nabiyyu wa rahmatullaahi wa barakaatuhu, assalaamu 'alaynaa wa 'alaa 'ibaadillaahis-saaliheen. 'Ash-hadu 'an laa 'ilaaha 'illallaahu wa 'ash-hadu 'anna Muhammadan 'abduhu wa Rasooluhu","All greetings of humility are for Allah, and all prayers and goodness. Peace be upon you, O Prophet, and the mercy of Allah and His blessings. Peace be upon us and upon the righteous slaves of Allah. I bear witness that there is none worthy of worship but Allah, and I bear witness that Muhammad is His slave and His Messenger.","Al-Bukhari: 7381"
"When someone insults you",2," رَبِّ احْكُم بِالْحَقِّ ۗ وَرَبُّنَا الرَّحْمَٰنُ الْمُسْتَعَانُ عَلَىٰ مَا تَصِفُونَ","Rabbi ohkum bilhaqqi wa rabbuna arrahmanul musta'aanu alaa ma tasifoon","My Lord, judge [between us] in truth. And our Lord is the Most Merciful, the one whose help is sought against that which you describe.","Surah Al-Anbiya - 21:112"
"When someone praises you",2," اللَّهُمّ لاَ تُؤاَخِذْنِي ِبَما يَقُولُونُ ، وَاغْفِرْ لِي مَالا يَعْلَمُونَ وَاجْعَلْنِي خَيْراً مِمَّا َيظُنُّونَ","Allaahumma laa tu'aakhithnee bimaa yaqooloona, waghfir lee maa laa ya'lamoona [waj'alnee khayram-mimmaa yadhunnoon]","O Allah, do not call me to account for what they say and forgive me for what they have no knowledge of [and make me better than they imagine].","Shu'ab Al-Iman 4:228"
"When starting ablution",1," بِسْمِ اللّهِ.","Bismil-lah","In the name of Allah.","Irwa'ul-Ghalil 1:122"
"When stricken by tragedy",4," حَسْبُـنا اللهُ وَنِعْـمَ الوَكـيل","Hasbunallaahu wa ni'amal-wakeel","Allah is sufficient for us and the best of those on whom to depend.","Surah Al-Imran 3:173"
"When throwing stones at Jamaraat",1," اللهُ أكْبَر","Allaahu 'Akbar","Allah is the Most Great!","Al-Bukhari:1751,1752,1753"
"When visiting the graves",2," السَّلَامُ عَلَيْكُمُ أَهْلَ الدِّيَارِ مِنَ الْمُؤْمِنِينَ وَالْمُسْلِمِينَ وَإِنَّا إِنْ شَاءَ اللَّهُ بِكُمْ لَاحِقُونَ نَسْأَلُ اللَّهَ لَنَا وَلَكُمُ الْعَافِيَةَ","Assalaamu 'alaykum 'ahlad-diyaari, minal-mu'mineena walmuslimeena, wa 'innaa 'in shaa' Allaahu bikum laahiqoona [wa yarhamullaahul-mustaqdimeena minnaa walmusta'khireena] 'as'alullaaha lanaa wa lakumul- 'aafiyata.","Oh Muslims residing here, salaams on you, by the will of Allah we will also be coming to you. We seek safety for us and you.","Muslim 2:671, Ibr Majah 1:494"
"When visiting the sick",2," أَسْأَلُ اللَّهَ الْعَظِيمَ رَبَّ الْعَرْشِ الْعَظِيمِ أَنْ يَشْفِيَكَ","As'alullaahal-'Adheema Rabbal-'Arshil-'Adheemi 'an yashfiyaka.","I ask Allah who is the Lofty and the Lord of the Mighty Throne that He cures you\n(Prophet Mohammad (SAW.) said that by reciting this dua seven times, the ill person will regain his health and if death occurs then that (death) is a different issue (i.e. death is written it cannot be prevented))","At-Tirmidhi 2:210"
"When wearing new clothes",1," اللَّهُمَّ لَكَ الْحَمْدُ أَنْتَ كَسَوْتَنِيهِ، أَسْأَلُكَ مِنْ خَيْرِهِ وَخَيْرِ مَا صُنِعَ لَهُ، وَأَعُوذُ بِكَ مِنْ شَرِّهِ وَشَرِّ مَا صُنِعَ لَهُ","Allaahumma lakal-hamdu 'Anta kasawtaneehi, 'as'aluka min khayrihi wa khayri maa suni'a lahu, wa 'a'oothu bika min sharrihi wa sharri ma suni'a lahu","O Allah, praise is to You. You have clothed me. I ask You for its goodness and the goodness of what it has been made for, and I seek Your protection from the evil of it and the evil of what it has been made for.","Abu Dawud: 4020, At-Tirmidhi: 1767"
"When you are in need",1," رَبِّ إِنِّي لِمَا أَنزَلْتَ إِلَيَّ مِنْ خَيْرٍ فَقِيرٌ","Rabbi innee lima anzalta ilayya min khayrin faqeer","My Lord! Truly, I am in need of whatever good that You bestow on me!","Surah Al-Qasas - 28:24"
"When you are nearing your death",2," أَشْهَدُ أَنْ لَا إِلَهَ إلَّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ، وَأَشْهَدُ أَنَّ مُحَمَّداً عَبْدُهُ وَرَسُولُهُ","Ash-hadu 'an laa 'ilaaha 'illallaahu wahdahu laa shareeka lahu wa 'ash-hadu 'anna Muhammadan 'abduhu wa Rasooluhu.","I bear witness that none has the right to be worshipped but Allah alone, Who has no partner; and I bear witness that Muhammad is His slave and His Messenger.","Muslim 1:209"
"When you fail or lose at something",1," قَدَّرَ اللهُ وَما شـاءَ فَعَـلَ","Qadarullaahu wa maa shaa'afa'ala","It is the Decree of Allah and He does whatever He wills.","Ibn Majah: 4168"
"When Waking Up",3," اَلْحَمْدُ لِلَّهِ الَّذي أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُورُ.","Alhamdu lillahil-lathee ahyana baAAda ma amatana wa-ilayhin-nushoor.","All praise is for Allah who gave us life after having taken it from us and unto Him is the resurrection.","Al-Bukhari 11:113, Muslim 4:2083"
"While prostrating before Allah (in Sujood)",7," اللَّهُمَّ اغْفِرْ لِي ذَنْبِي كُلَّهُ، دِقَّهُ وَجِلَّهُ، وَأَوَّلَهُ وَآخِرَهُ وَعَلَانِيَتَهُ وَسِرَّهُ","Allaahum-maghfir lee thanbee kullahu, diqqahu wa jillahu, wa 'awwalahu wa 'aakhirahu wa 'alaaniyata hu wa sirrahu","O Allah, forgive me all my sins, great and small, the first and the last, those that are apparent and those that are hidden.","Abu Dawud: 878"
"While returning from travel",1," ا للهُ أَكْـبَر، ا للهُ أَكْـبَر، ا للهُ أَكْـبَر،لا إلهَ إلاّ اللّهُ وَحْـدَهُ لا شريكَ لهُ، لهُ الملكُ ولهُ الحَمْد، وهُوَ على كُلّ شَيءٍ قَـدير، آيِبـونَ تائِبـونَ عابِـدونَ لِرَبِّـنا حـامِـدون، صَدَقَ اللهُ وَعْـدَه، وَنَصَـرَ عَبْـدَه، وَهَزَمَ الأَحْـزابَ وَحْـدَه.","Allahu Akbar, Allahu Akbar, Allahu Akbar, Laa ilaaha illallaahu wahdahu laa shareeka lahu, lahul-mulku, wa lahul-hamdu, wa Huwa alaa kulli shay in Qadeer, aaiboona, taaiboona, aabidoona, lirabbinaa haamidoona, sadaqallaahu wadahu, wa nasara abdahu, wa hazamal-ahzaaba wahdahu.","Allah is the greatest, Allah is the greatest, Allah is the greatest.\nNone has the right to be worshipped except Allah, alone, without partner. To Him belongs all sovereignty and praise, and He is over all things omnipotent. We return, repent, worship and praise our Lord. Allah fulfilled His promise, aided His Servant, and single-handedly defeated the allies.","Al-Bukhari 7:163, 2:980"
"When Wearing a Garment",1," اَلْحَمْدُ لِلّهِ الَّذِي كَسَانِي هَذَا (الثَّوْبَ) وَرَزَقَنِيهِ مِنْ غَـيـْرِ حَوْلٍ مِنِّي وَلَا قُـوَّةٍ.","Alhamdu lillahil-lathee kasanee hatha (aththawb) warazaqaneehi min ghayri hawlin minnee wala quwwah.","All Praise is for Allah who has clothed me with this garment and provided it for me, with no power or might from myself.","Irwa'ul-Ghalil 7:47"
"Manzil",10," أَفَحَسِبْتُمْ أَنَّمَا خَلَقْنَٰكُمْ عَبَثًا وَأَنَّكُمْ إِلَيْنَا لَا تُرْجَعُونَ
فَتَعَٰلَى ٱللَّهُ ٱلْمَلِكُ ٱلْحَقُّ لَآ إِلَٰهَ إِلَّا هُوَ رَبُّ ٱلْعَرْشِ ٱلْكَرِيمِ
وَمَن يَدْعُ مَعَ ٱللَّهِ إِلَٰهًا ءَاخَرَ لَا بُرْهَٰنَ لَهُۥ بِهِۦ فَإِنَّمَا حِسَابُهُۥ عِندَ رَبِّهِۦٓ إِنَّهُۥ لَا يُفْلِحُ ٱلْكَٰفِرُونَ
وَقُل رَّبِّ ٱغْفِرْ وَٱرْحَمْ وَأَنتَ خَيْرُ ٱلرَّٰحِمِينَ","23. 115. Afahasibtum annama khalaqnakum AAabathan waannakum ilayna la turjaAAoona
23. 116. FataAAala Allahu almaliku alhaqqu la ilaha illa huwa rabbu alAAarshi alkareemi
23. 117. Waman yadAAu maAAa Allahi ilahan akhara la burhana lahu bihi fa-innama hisabuhu AAinda rabbihi innahu la yuflihu alkafiroona 23.118. Waqul rabbi ighfir wairham waanta khayru alrrahimeena Bismi Allahi alrrahmani alrraheemi ","","Surah Al-Muminoon : 115 - 118"
"During Hajj",4," أَبْدَأُ بِمَا بَدَأَ اللهُ بِهِ. لَا إِلهَ إِلَّا اللهُ وَ اللهُ أَكْـبَر لَا إِلهَ إِلَّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ، لَهُ المُلْكُ وَلَهُ الحَمْدُ وهُوَ عَلى كُلِّ شَيءٍ قَديرٌ، لَا إِلَهَ إِلَّا اللهُ وَحْدَهُ أَنْجَزَ وَعْدَهُ، وَنَصَرَ عَبْدَهُ وَهَزَمَ الأَحْزَابَ وَحْدَهُ","Abda’u bi maa bada’-allaahu bih allaahu akbar, allaahu akbar, allaahu akbar laa ilaaha ill-allaahu waḥdahu laa shareeka lah, lahul-mulku wa lahul-ḥamdu wa huwa ‛alaa kulli shay’in qadeer, laa ilaaha ill-allaahu waḥdahu, anjaza wa‛dahu, wa naṣara ‛abdahu, wa hazam-al-’aḥzaaba waḥdah","I begin with what Allah began with.Allah is the greatest, Allah is the greatest, Allah is the greatest. None has the right to be worshipped except Allah, alone, without partner. To Him belongs all sovereignty and praise and He is over all things omnipotent. None has the right to be worshipped except Allah alone. He fulfilled His promise, aided His Servant and single-handedly defeated the allies.","[مسلم 2:888]"
"Sneezers replies back",1," يَهْدِيكُمُ اللَّهُ وَيُصْلِحُ بَالَكُمْ ","Yahdeekumul-lahu wayuslihu balakum","May Allah guide you and rectify your condition.","Sahih Al-Bukhari: 6224"
"Having Relation With Wife",1," بِسْمِ اللَّهِ اللَّهُمَّ جَنِّبْنَا الشَّيْطَانَ وَجَنِّبِ الشَّيْطَانَ مَا رَزَقْتَنَا  ","Bismillah, Allahumma Jannibna-sh-Shaitan, Wa Jannibi-sh-Shaitana ma Razaqtana","I am having relations in the name of Allah. O Allah save us from Satan and keep him away from the children You grant us. The child that is born after the recitation of this dua will never be harmed by Satan","Sunan Abi Dawud: 2161"
